BOROUGH,AGE GROUP,GENDER,RACE
S,25-44,F,BLACK
M,45-64,M,BLACK
B,25-44,M,BLACK
Q,25-44,F,WHITE
K,45-64,M,BLACK
M,45-64,M,BLACK
M,25-44,M,BLACK
K,25-44,M,BLACK
B,25-44,M,BLACK
K,45-64,M,BLACK
M,45-64,M,BLACK
Q,25-44,M,WHITE
K,18-24,M,BLACK
K,45-64,M,WHITE
M,45-64,M,BLACK
S,45-64,M,WHITE
K,45-64,F,BLACK
B,25-44,M,BLACK
M,45-64,M,BLACK
K,45-64,M,BLACK
Q,25-44,M,WHITE
M,18-24,M,BLACK
M,25-44,M,BLACK
M,25-44,F,BLACK
Q,25-44,M,BLACK
M,45-64,M,BLACK
K,18-24,M,BLACK
B,25-44,M,BLACK
K,25-44,F,BLACK
K,25-44,M,BLACK
B,25-44,M,BLACK
M,18-24,M,BLACK
K,25-44,M,BLACK
M,18-24,M,BLACK
M,25-44,M,BLACK
Q,25-44,M,BLACK
M,25-44,F,BLACK
M,18-24,M,BLACK
M,18-24,M,BLACK
K,18-24,F,BLACK
K,18-24,F,BLACK
K,<18,M,WHITE
M,25-44,M,BLACK
B,25-44,M,WHITE
K,45-64,M,BLACK
B,25-44,M,WHITE
S,25-44,M,BLACK
K,18-24,M,BLACK
K,18-24,F,BLACK
Q,18-24,M,BLACK
Q,25-44,M,BLACK
M,45-64,F,BLACK
K,18-24,M,WHITE
M,25-44,M,WHITE
B,25-44,M,BLACK
K,18-24,M,BLACK
Q,25-44,M,BLACK
M,25-44,M,BLACK
K,<18,M,BLACK
K,25-44,M,BLACK
M,25-44,M,BLACK
B,25-44,M,BLACK
K,18-24,M,BLACK
Q,25-44,F,BLACK
M,25-44,M,BLACK
K,65+,M,BLACK
Q,25-44,M,BLACK
M,25-44,M,BLACK
M,25-44,M,BLACK
S,45-64,M,BLACK
Q,25-44,M,BLACK
B,45-64,F,BLACK
K,25-44,M,WHITE
S,25-44,M,WHITE
M,18-24,M,BLACK
M,45-64,M,BLACK
Q,<18,M,BLACK
K,45-64,M,BLACK
K,45-64,M,BLACK
S,25-44,M,WHITE
Q,25-44,M,WHITE
K,25-44,F,BLACK
BRONX,<18,M,BLACK
M,18-24,M,BLACK
K,25-44,M,BLACK
M,45-64,M,BLACK
K,18-24,M,WHITE
K,25-44,M,BLACK
K,45-64,M,BLACK
B,25-44,M,BLACK
K,25-44,M,BLACK
K,25-44,M,BLACK
K,25-44,M,BLACK
Q,45-64,M,BLACK
BRONX,18-24,M,BLACK
M,25-44,M,BLACK
S,25-44,F,BLACK
K,25-44,M,BLACK
Q,18-24,F,BLACK
K,25-44,M,WHITE
M,25-44,M,BLACK
M,25-44,M,WHITE
Q,18-24,M,BLACK
BRONX,18-24,M,BLACK
K,25-44,M,WHITE
Q,25-44,M,BLACK
Q,18-24,M,BLACK
K,18-24,F,BLACK
BRONX,18-24,M,BLACK
Q,45-64,M,WHITE
K,18-24,F,BLACK
Q,25-44,M,BLACK
B,25-44,M,BLACK
Q,45-64,M,BLACK
K,25-44,M,BLACK
Q,45-64,M,BLACK
Q,25-44,M,BLACK
K,18-24,M,WHITE
B,25-44,M,WHITE
K,25-44,M,BLACK
S,25-44,M,BLACK
Q,18-24,F,BLACK
M,18-24,M,BLACK
K,25-44,M,BLACK
Q,25-44,F,BLACK
M,25-44,F,BLACK
B,25-44,M,BLACK
S,25-44,M,BLACK
K,25-44,M,WHITE
K,25-44,M,BLACK
K,18-24,M,BLACK
M,18-24,M,BLACK
K,25-44,M,BLACK
K,18-24,M,BLACK
M,25-44,M,BLACK
K,45-64,M,BLACK
M,45-64,F,BLACK
K,18-24,F,WHITE
M,25-44,M,BLACK
K,45-64,M,BLACK
Q,65+,M,BLACK
Q,25-44,M,BLACK
B,45-64,F,BLACK
M,25-44,M,BLACK
M,25-44,M,BLACK
M,25-44,F,WHITE
K,25-44,M,BLACK
Q,25-44,M,WHITE
S,25-44,F,BLACK
B,25-44,M,BLACK
M,25-44,M,BLACK
K,25-44,M,WHITE
B,25-44,M,BLACK
Q,18-24,F,BLACK
M,25-44,M,BLACK
B,25-44,M,BLACK
S,25-44,F,BLACK
B,25-44,M,BLACK
M,25-44,M,BLACK
K,65+,M,WHITE
K,25-44,M,WHITE
K,25-44,M,BLACK
M,25-44,F,WHITE
S,45-64,M,WHITE
K,25-44,M,BLACK
M,18-24,M,BLACK
K,25-44,M,WHITE
K,25-44,M,BLACK
B,25-44,M,BLACK
M,45-64,M,BLACK
BRONX,18-24,F,BLACK
K,18-24,M,BLACK
B,25-44,M,BLACK
S,45-64,M,WHITE
M,45-64,M,BLACK
K,25-44,M,BLACK
K,45-64,M,BLACK
K,25-44,F,BLACK
K,45-64,M,BLACK
K,25-44,M,BLACK
K,65+,F,BLACK
K,25-44,F,BLACK
B,25-44,M,BLACK
M,25-44,M,BLACK
K,25-44,F,BLACK
K,25-44,F,BLACK
K,25-44,M,BLACK
BRONX,18-24,M,BLACK
K,45-64,M,BLACK
M,25-44,M,WHITE
K,25-44,M,BLACK
K,25-44,M,BLACK
M,45-64,M,BLACK
B,25-44,M,BLACK
B,25-44,M,BLACK
M,18-24,F,BLACK
B,25-44,M,WHITE
Q,25-44,M,BLACK
M,<18,F,BLACK
M,45-64,M,WHITE
M,25-44,M,WHITE
B,45-64,M,BLACK
Q,45-64,M,BLACK
K,45-64,M,BLACK
K,45-64,M,WHITE
M,<18,M,BLACK
Q,25-44,F,BLACK
K,25-44,M,BLACK
M,45-64,M,BLACK
K,18-24,M,BLACK
M,25-44,M,BLACK
K,45-64,M,BLACK
BRONX,18-24,M,BLACK
K,25-44,M,BLACK
Q,25-44,F,BLACK
M,45-64,M,BLACK
M,45-64,M,BLACK
M,25-44,M,BLACK
Q,25-44,M,BLACK
BRONX,18-24,M,BLACK
K,45-64,M,BLACK
S,25-44,M,WHITE
B,25-44,M,BLACK
K,45-64,F,BLACK
K,25-44,M,BLACK
Q,18-24,M,BLACK
S,25-44,F,BLACK
K,45-64,M,BLACK
K,18-24,M,BLACK
Q,25-44,F,BLACK
S,<18,M,WHITE
Q,45-64,M,WHITE
K,25-44,M,WHITE
M,18-24,M,BLACK
M,45-64,M,WHITE
M,18-24,M,BLACK
M,45-64,F,BLACK
K,25-44,F,BLACK
BRONX,18-24,M,BLACK
M,25-44,F,BLACK
Q,65+,M,BLACK
S,18-24,M,WHITE
K,25-44,M,WHITE
K,<18,M,BLACK
M,25-44,M,WHITE
B,45-64,M,BLACK
K,18-24,M,BLACK
K,25-44,F,BLACK
Q,25-44,F,BLACK
M,25-44,F,BLACK
B,45-64,F,BLACK
Q,45-64,M,BLACK
Q,18-24,M,BLACK
K,25-44,M,BLACK
B,25-44,F,BLACK
K,18-24,M,BLACK
B,25-44,M,BLACK
Q,18-24,M,BLACK
K,25-44,F,WHITE
S,25-44,M,BLACK
K,45-64,M,BLACK
M,45-64,M,BLACK
B,25-44,M,BLACK
K,25-44,M,BLACK
Q,25-44,F,BLACK
K,45-64,M,BLACK
B,25-44,M,BLACK
Q,45-64,F,WHITE
K,45-64,M,BLACK
K,25-44,M,BLACK
K,25-44,M,BLACK
K,25-44,M,BLACK
K,25-44,F,BLACK
K,65+,F,WHITE
B,25-44,M,BLACK
K,25-44,M,BLACK
K,25-44,M,BLACK
M,45-64,M,WHITE
M,45-64,M,BLACK
K,25-44,M,WHITE
M,25-44,M,WHITE
K,<18,F,BLACK
M,18-24,M,BLACK
Q,45-64,M,WHITE
B,25-44,M,BLACK
M,25-44,M,BLACK
S,18-24,M,BLACK
M,25-44,M,BLACK
Q,25-44,F,BLACK
Q,25-44,M,BLACK
B,25-44,M,BLACK
B,45-64,M,BLACK
B,25-44,M,BLACK
Q,25-44,M,BLACK
M,25-44,M,BLACK
K,25-44,M,WHITE
B,45-64,M,BLACK
Q,25-44,M,WHITE
B,45-64,M,BLACK
M,25-44,M,BLACK
B,25-44,M,BLACK
M,18-24,M,BLACK
K,18-24,M,BLACK
M,25-44,M,WHITE
Q,45-64,M,WHITE
B,25-44,M,BLACK
S,25-44,M,BLACK
B,25-44,M,BLACK
B,25-44,M,BLACK
Q,18-24,M,BLACK
S,18-24,M,WHITE
B,25-44,M,BLACK
K,<18,M,BLACK
M,45-64,M,BLACK
K,25-44,M,BLACK
K,25-44,M,BLACK
K,18-24,F,BLACK
M,25-44,M,WHITE
B,45-64,F,BLACK
Q,45-64,F,BLACK
Q,25-44,M,WHITE
S,45-64,M,WHITE
M,18-24,M,BLACK
Q,18-24,M,BLACK
S,25-44,M,BLACK
Q,45-64,M,WHITE
M,45-64,M,BLACK
K,25-44,M,BLACK
K,45-64,M,BLACK
K,18-24,M,WHITE
M,25-44,M,BLACK
S,45-64,M,BLACK
K,18-24,M,BLACK
Q,45-64,M,WHITE
M,45-64,M,BLACK
M,45-64,M,BLACK
K,<18,M,WHITE
K,18-24,M,BLACK
K,45-64,M,WHITE
K,25-44,M,BLACK
M,25-44,M,BLACK
K,45-64,M,BLACK
K,45-64,M,BLACK
M,25-44,M,BLACK
K,25-44,M,BLACK
M,45-64,M,BLACK
Q,25-44,M,BLACK
S,18-24,M,BLACK
M,<18,M,BLACK
Q,25-44,M,WHITE
K,25-44,M,WHITE
M,18-24,M,WHITE
M,25-44,M,BLACK
K,<18,M,BLACK
S,25-44,F,BLACK
M,25-44,M,WHITE
K,25-44,M,BLACK
Q,25-44,M,BLACK
Q,45-64,M,WHITE
BRONX,18-24,M,BLACK
M,25-44,M,WHITE
K,45-64,M,BLACK
K,25-44,M,BLACK
B,25-44,M,BLACK
M,25-44,M,BLACK
S,25-44,M,BLACK
B,45-64,M,BLACK
M,25-44,M,BLACK
Q,25-44,F,BLACK
K,25-44,M,BLACK
Q,25-44,F,BLACK
Q,18-24,M,BLACK
M,18-24,M,WHITE
S,25-44,F,BLACK
S,25-44,M,BLACK
Q,18-24,F,BLACK
K,25-44,M,BLACK
B,25-44,F,BLACK
BRONX,<18,M,BLACK
M,45-64,F,BLACK
M,45-64,M,BLACK
K,18-24,M,BLACK
S,18-24,F,BLACK
Q,45-64,M,BLACK
S,25-44,M,BLACK
Q,18-24,M,WHITE
BRONX,18-24,M,BLACK
K,25-44,M,BLACK
Q,25-44,M,BLACK
Q,25-44,M,BLACK
B,25-44,M,BLACK
K,25-44,F,BLACK
K,45-64,M,WHITE
M,25-44,M,BLACK
Q,45-64,M,BLACK
M,25-44,M,BLACK
K,18-24,M,BLACK
B,45-64,F,BLACK
Q,25-44,M,BLACK
M,25-44,M,BLACK
B,25-44,F,BLACK
M,25-44,F,BLACK
Q,45-64,M,BLACK
K,25-44,M,WHITE
Q,45-64,M,BLACK
K,45-64,M,BLACK
B,45-64,M,BLACK
M,25-44,M,WHITE
K,25-44,M,BLACK
K,18-24,M,BLACK
M,45-64,M,BLACK
M,25-44,M,BLACK
Q,45-64,M,BLACK
M,<18,M,BLACK
K,18-24,F,BLACK
K,25-44,M,WHITE
K,25-44,M,BLACK
B,25-44,M,BLACK
Q,18-24,F,BLACK
Q,25-44,F,BLACK
K,18-24,M,BLACK
Q,25-44,F,BLACK
M,65+,F,BLACK
Q,45-64,M,WHITE
K,25-44,M,BLACK
B,45-64,M,BLACK
BRONX,<18,M,BLACK
K,18-24,M,BLACK
Q,25-44,M,BLACK
K,25-44,F,WHITE
K,18-24,M,BLACK
M,25-44,M,BLACK
K,25-44,M,BLACK
B,25-44,M,BLACK
B,25-44,M,BLACK
M,45-64,F,BLACK
K,18-24,M,BLACK
B,45-64,M,BLACK
M,45-64,M,BLACK
B,25-44,M,BLACK
M,25-44,F,BLACK
K,25-44,F,BLACK
K,25-44,M,BLACK
M,45-64,M,BLACK
M,45-64,M,WHITE
B,25-44,M,BLACK
K,25-44,M,BLACK
K,18-24,M,BLACK
BRONX,18-24,M,BLACK
K,25-44,M,WHITE
M,25-44,M,BLACK
Q,<18,M,BLACK
B,25-44,M,BLACK
K,25-44,M,BLACK
B,25-44,M,BLACK
Q,45-64,M,WHITE
K,25-44,M,BLACK
B,45-64,M,BLACK
K,25-44,M,BLACK
K,25-44,M,WHITE
Q,45-64,M,BLACK
M,25-44,M,WHITE
M,18-24,F,BLACK
K,25-44,F,WHITE
BRONX,<18,M,BLACK
K,25-44,M,BLACK
BRONX,18-24,M,BLACK
K,25-44,M,BLACK
K,25-44,M,WHITE
Q,18-24,M,BLACK
K,<18,M,BLACK
M,18-24,F,BLACK
Q,45-64,M,BLACK
K,25-44,M,WHITE
K,25-44,M,WHITE
B,25-44,M,BLACK
M,25-44,M,BLACK
M,25-44,M,BLACK
S,18-24,M,BLACK
Q,25-44,M,BLACK
M,45-64,F,WHITE
K,25-44,M,BLACK
M,65+,M,BLACK
Q,25-44,M,BLACK
B,25-44,M,BLACK
K,45-64,M,BLACK
B,45-64,F,BLACK
K,25-44,M,BLACK
M,18-24,M,BLACK
B,45-64,M,BLACK
B,45-64,M,BLACK
Q,25-44,M,BLACK
K,45-64,M,BLACK
M,25-44,F,WHITE
S,25-44,M,BLACK
K,<18,M,BLACK
BRONX,18-24,M,BLACK
M,25-44,M,BLACK
M,25-44,M,BLACK
B,25-44,M,BLACK
K,25-44,M,BLACK
Q,18-24,M,BLACK
Q,25-44,M,BLACK
K,25-44,M,BLACK
Q,25-44,M,BLACK
M,25-44,M,BLACK
B,25-44,M,BLACK
K,45-64,M,WHITE
M,18-24,M,BLACK
M,45-64,M,BLACK
M,45-64,M,BLACK
K,25-44,F,BLACK
M,25-44,M,BLACK
Q,25-44,M,BLACK
K,25-44,M,BLACK
K,25-44,M,BLACK
K,25-44,M,BLACK
K,25-44,M,BLACK
M,18-24,M,BLACK
M,25-44,M,BLACK
K,25-44,F,BLACK
B,25-44,M,BLACK
M,25-44,M,BLACK
Q,25-44,M,BLACK
K,18-24,M,WHITE
M,18-24,M,BLACK
Q,18-24,F,BLACK
K,18-24,M,BLACK
S,25-44,M,BLACK
M,25-44,M,WHITE
Q,45-64,M,BLACK
K,45-64,M,WHITE
M,18-24,M,BLACK
S,25-44,M,WHITE
M,18-24,M,BLACK
K,25-44,F,BLACK
M,45-64,F,WHITE
K,25-44,M,BLACK
M,<18,M,BLACK
M,25-44,M,BLACK
M,25-44,M,BLACK
K,18-24,F,BLACK
S,18-24,M,BLACK
B,25-44,M,BLACK
BRONX,<18,M,BLACK
K,25-44,M,WHITE
B,25-44,M,BLACK
K,25-44,M,WHITE
K,18-24,M,BLACK
B,25-44,M,BLACK
Q,25-44,M,BLACK
K,18-24,M,BLACK
S,25-44,M,BLACK
M,18-24,M,WHITE
BRONX,18-24,M,BLACK
Q,25-44,F,BLACK
K,18-24,M,BLACK
B,25-44,M,WHITE
K,18-24,M,BLACK
Q,25-44,F,BLACK
B,25-44,M,BLACK
M,25-44,F,WHITE
K,45-64,M,BLACK
BRONX,18-24,M,BLACK
Q,25-44,M,WHITE
M,25-44,M,WHITE
M,18-24,M,BLACK
K,25-44,M,BLACK
K,25-44,M,BLACK
M,25-44,M,BLACK
K,18-24,M,BLACK
K,18-24,M,WHITE
S,18-24,M,BLACK
K,18-24,F,BLACK
B,25-44,M,BLACK
M,18-24,M,BLACK
Q,25-44,M,BLACK
M,25-44,M,BLACK
K,45-64,M,WHITE
Q,25-44,M,BLACK
K,25-44,M,BLACK
K,25-44,M,BLACK
Q,25-44,M,BLACK
K,45-64,M,WHITE
K,25-44,M,BLACK
Q,25-44,M,WHITE
Q,25-44,M,WHITE
K,25-44,F,BLACK
Q,<18,M,WHITE
BRONX,18-24,M,BLACK
M,25-44,M,BLACK
K,25-44,F,BLACK
Q,25-44,M,BLACK
K,<18,M,WHITE
M,45-64,F,BLACK
M,45-64,M,BLACK
K,25-44,F,BLACK
K,25-44,M,WHITE
M,45-64,F,WHITE
K,25-44,F,BLACK
K,25-44,M,WHITE
S,45-64,M,BLACK
Q,25-44,M,BLACK
M,25-44,M,BLACK
Q,25-44,F,BLACK
Q,18-24,M,BLACK
K,18-24,M,BLACK
B,25-44,M,BLACK
B,25-44,F,BLACK
BRONX,18-24,F,BLACK
K,25-44,M,BLACK
Q,25-44,M,BLACK
K,25-44,M,WHITE
B,25-44,M,BLACK
K,45-64,M,BLACK
M,18-24,M,WHITE
K,25-44,F,BLACK
M,45-64,M,BLACK
Q,25-44,M,BLACK
B,25-44,M,BLACK
M,18-24,F,BLACK
S,45-64,M,WHITE
K,25-44,M,BLACK
BRONX,18-24,M,BLACK
M,25-44,M,BLACK
M,25-44,F,WHITE
K,18-24,M,BLACK
Q,18-24,M,BLACK
Q,45-64,M,BLACK
BRONX,18-24,M,BLACK
M,45-64,M,BLACK
M,25-44,M,WHITE
B,65+,M,BLACK
M,45-64,M,BLACK
Q,18-24,F,BLACK
K,25-44,M,BLACK
K,25-44,F,BLACK
K,25-44,M,BLACK
Q,25-44,M,WHITE
K,18-24,F,BLACK
M,45-64,M,WHITE
Q,25-44,F,BLACK
K,25-44,M,BLACK
K,25-44,F,BLACK
M,45-64,M,BLACK
M,45-64,M,BLACK
K,25-44,M,BLACK
K,45-64,M,WHITE
Q,25-44,M,BLACK
K,45-64,M,WHITE
Q,18-24,F,BLACK
K,25-44,M,WHITE
B,25-44,M,BLACK
B,25-44,M,WHITE
K,25-44,M,WHITE
Q,25-44,M,WHITE
B,25-44,M,BLACK
K,18-24,M,BLACK
BRONX,18-24,M,BLACK
M,45-64,M,BLACK
K,25-44,M,BLACK
Q,25-44,F,BLACK
BRONX,18-24,M,BLACK
K,18-24,M,BLACK
Q,25-44,M,BLACK
B,25-44,M,BLACK
K,18-24,M,BLACK
K,45-64,M,BLACK
K,25-44,M,BLACK
K,25-44,M,WHITE
BRONX,18-24,M,BLACK
Q,25-44,F,WHITE
Q,25-44,M,BLACK
Q,45-64,M,BLACK
BRONX,<18,M,BLACK
M,25-44,M,BLACK
K,25-44,F,WHITE
K,18-24,M,BLACK
K,45-64,M,BLACK
Q,45-64,F,BLACK
M,45-64,M,BLACK
K,25-44,M,WHITE
M,25-44,M,BLACK
M,18-24,F,BLACK
K,25-44,M,BLACK
K,25-44,F,WHITE
M,45-64,M,WHITE
M,45-64,M,BLACK
K,18-24,M,BLACK
S,<18,M,WHITE
K,45-64,F,BLACK
M,45-64,M,BLACK
S,25-44,M,WHITE
M,25-44,M,WHITE
K,25-44,M,BLACK
S,65+,F,WHITE
M,45-64,M,BLACK
B,25-44,M,BLACK
M,25-44,M,BLACK
M,45-64,M,BLACK
M,45-64,M,BLACK
K,45-64,M,BLACK
K,25-44,M,BLACK
M,25-44,M,BLACK
M,25-44,M,BLACK
Q,18-24,F,BLACK
B,25-44,M,BLACK
K,25-44,M,BLACK
B,25-44,F,BLACK
B,25-44,M,BLACK
K,25-44,M,BLACK
S,25-44,M,BLACK
K,25-44,F,WHITE
M,45-64,M,BLACK
K,45-64,M,BLACK
K,45-64,M,WHITE
Q,45-64,M,WHITE
K,25-44,M,WHITE
K,45-64,M,BLACK
K,18-24,M,BLACK
Q,25-44,M,BLACK
K,18-24,F,BLACK
M,45-64,M,BLACK
Q,25-44,M,BLACK
K,25-44,M,WHITE
Q,18-24,M,BLACK
Q,25-44,M,BLACK
BRONX,18-24,F,BLACK
K,18-24,M,BLACK
M,25-44,M,BLACK
K,25-44,M,BLACK
Q,45-64,M,BLACK
K,25-44,F,BLACK
M,25-44,F,WHITE
Q,25-44,M,BLACK
K,18-24,M,BLACK
M,45-64,M,WHITE
K,25-44,M,BLACK
M,25-44,M,WHITE
K,25-44,M,BLACK
M,45-64,M,BLACK
M,25-44,F,WHITE
Q,25-44,M,BLACK
BRONX,<18,M,BLACK
K,25-44,M,BLACK
K,25-44,M,BLACK
Q,25-44,M,BLACK
K,45-64,M,BLACK
Q,45-64,M,BLACK
B,65+,F,BLACK
Q,25-44,M,BLACK
Q,25-44,M,WHITE
M,18-24,M,BLACK
B,25-44,F,BLACK
B,25-44,M,BLACK
M,18-24,M,BLACK
S,45-64,M,WHITE
S,<18,M,BLACK
K,18-24,M,BLACK
B,25-44,M,BLACK
B,25-44,M,BLACK
K,45-64,M,BLACK
K,25-44,M,BLACK
M,45-64,M,BLACK
S,25-44,F,BLACK
Q,25-44,M,BLACK
B,25-44,M,BLACK
K,25-44,M,BLACK
K,25-44,F,BLACK
M,25-44,M,BLACK
S,18-24,M,WHITE
M,25-44,F,BLACK
M,18-24,M,BLACK
K,18-24,M,BLACK
B,25-44,M,BLACK
Q,25-44,M,BLACK
K,25-44,M,BLACK
S,25-44,M,BLACK
Q,25-44,F,BLACK
BRONX,18-24,M,BLACK
M,25-44,M,BLACK
BRONX,18-24,F,BLACK
Q,25-44,F,BLACK
Q,25-44,F,BLACK
M,45-64,F,WHITE
K,25-44,M,BLACK
Q,45-64,M,BLACK
K,45-64,M,BLACK
Q,25-44,M,BLACK
Q,25-44,M,BLACK
Q,45-64,M,BLACK
S,45-64,M,BLACK
B,25-44,M,BLACK
M,45-64,M,BLACK
K,25-44,M,BLACK
K,25-44,M,BLACK
Q,25-44,M,BLACK
K,25-44,F,BLACK
M,25-44,M,BLACK
B,45-64,M,BLACK
K,25-44,M,WHITE
Q,18-24,F,BLACK
K,25-44,M,BLACK
K,18-24,M,BLACK
B,25-44,F,BLACK
S,25-44,M,BLACK
M,25-44,M,BLACK
BRONX,18-24,F,BLACK
Q,25-44,M,BLACK
K,25-44,M,BLACK
K,45-64,M,BLACK
K,45-64,F,BLACK
S,25-44,M,WHITE
